controller,N,seed,mse,state_dim
PID,1000,11,0.21436306476021302,2
PID,3000,0,0.1464153118913595,2
PID,3000,1,0.14841133942587778,2
PID,3000,2,0.148887734511997,2
PID,3000,3,0.14531548993997517,2
PID,3000,4,0.15061534794313258,2
PID,3000,5,0.14634537018180227,2
PID,3000,6,0.14934940302484706,2
PID,3000,7,0.14922036537661315,2
PID,3000,8,0.14228882557125583,2
PID,3000,9,0.14953485094143784,2
PID,3000,10,0.15293540034144798,2
PID,3000,11,0.14273104894452374,2
CASCADE,1,0,56.507114710923254,2
CASCADE,1,1,53.973429523169166,2
CASCADE,1,2,55.27867699254898,2
CASCADE,1,3,54.0734463982926,2
CASCADE,1,4,54.782189787646665,2
CASCADE,1,5,57.697924519008936,2
CASCADE,1,6,56.10389472307144,2
CASCADE,1,7,56.75455383332498,2
CASCADE,1,8,56.981910057592714,2
CASCADE,1,9,56.85936011935723,2
CASCADE,1,10,56.608758117430966,2
CASCADE,1,11,56.385900671075674,2
CASCADE,3,0,18.093911698692136,2
CASCADE,3,1,17.774689298914158,2
CASCADE,3,2,18.49782509599096,2
CASCADE,3,3,19.495406128412135,2
CASCADE,3,4,18.682155797759787,2
CASCADE,3,5,19.52550222003029,2
CASCADE,3,6,19.375887643025205,2
CASCADE,3,7,19.3130174006287,2
CASCADE,3,8,17.763974374207148,2
CASCADE,3,9,19.685541580020814,2
CASCADE,3,10,18.69892215882127,2
CASCADE,3,11,19.181410808489378,2
CASCADE,10,0,5.6247660308009895,2
CASCADE,10,1,5.26636796329584,2
CASCADE,10,2,5.767429668253296,2
CASCADE,10,3,5.871587528456429,2
CASCADE,10,4,5.544054982825093,2
CASCADE,10,5,5.695349829531353,2
CASCADE,10,6,5.666835245670887,2
CASCADE,10,7,5.481031905238798,2
CASCADE,10,8,5.577875879519664,2
CASCADE,10,9,5.769248212865993,2
CASCADE,10,10,5.815491460211232,2
CASCADE,10,11,5.6076768679293005,2
CASCADE,30,0,1.9944002218482193,2
CASCADE,30,1,2.02099586407566,2
CASCADE,30,2,2.0017256961538346,2
CASCADE,30,3,1.9488129732364554,2
CASCADE,30,4,1.938678499163175,2
CASCADE,30,5,1.881956011583316,2
CASCADE,30,6,2.115810530589691,2
CASCADE,30,7,1.9235517281901642,2
CASCADE,30,8,1.9490105896948262,2
CASCADE,30,9,2.046320405845863,2
CASCADE,30,10,2.1021241343989603,2
CASCADE,30,11,2.011913155075304,2
CASCADE,100,0,0.6682747057030932,2
CASCADE,100,1,0.6511215342653361,2
CASCADE,100,2,0.6593933585775233,2
CASCADE,100,3,0.6890824017817893,2
CASCADE,100,4,0.6945967943384436,2
CASCADE,100,5,0.7145615418085594,2
CASCADE,100,6,0.6519088180110292,2
CASCADE,100,7,0.667923126012095,2
CASCADE,100,8,0.6654213028217407,2
CASCADE,100,9,0.7170419733237344,2
CASCADE,100,10,0.6540457494107546,2
CASCADE,100,11,0.7433225547876284,2
CASCADE,300,0,0.29319353080095173,2
CASCADE,300,1,0.295977662763602,2
CASCADE,300,2,0.2988450919318086,2
CASCADE,300,3,0.2952777390451722,2
CASCADE,300,4,0.30417280521730844,2
CASCADE,300,5,0.2909149726552387,2
CASCADE,300,6,0.2944807064661929,2
CASCADE,300,7,0.2940615666205661,2
CASCADE,300,8,0.3069539938158871,2
CASCADE,300,9,0.2941022371458266,2
CASCADE,300,10,0.3002132398624443,2
CASCADE,300,11,0.29839259998794304,2
CASCADE,1000,0,0.17951324293501347,2
CASCADE,1000,1,0.18038836738031613,2
CASCADE,1000,2,0.17022039985558857,2
CASCADE,1000,3,0.17293491685889534,2
CASCADE,1000,4,0.1770495714448031,2
CASCADE,1000,5,0.1794728775763831,2
CASCADE,1000,6,0.17409512516213427,2
CASCADE,1000,7,0.17652749048383287,2
CASCADE,1000,8,0.18666867031927398,2
CASCADE,1000,9,0.18437556603828553,2
CASCADE,1000,10,0.16927698240013667,2
CASCADE,1000,11,0.17844961655988334,2
CASCADE,3000,0,0.13765749054983428,2
CASCADE,3000,1,0.13901859671938824,2
CASCADE,3000,2,0.1399434577015392,2
CASCADE,3000,3,0.1402850670717572,2
CASCADE,3000,4,0.13922225461858695,2
CASCADE,3000,5,0.13626779340040102,2
CASCADE,3000,6,0.1432513676970001,2
CASCADE,3000,7,0.13993803734806382,2
CASCADE,3000,8,0.13727620027847282,2
CASCADE,3000,9,0.1386448682396572,2
CASCADE,3000,10,0.1388293231832998,2
CASCADE,3000,11,0.13728410602579127,2
RES,1,0,36.985031966097715,2
RES,1,1,35.352366777100805,2
RES,1,2,36.05951128480886,2
RES,1,3,35.2086254463859,2
RES,1,4,35.57135030804112,2
RES,1,5,37.75366097014715,2
RES,1,6,36.768292765172234,2
RES,1,7,37.49622758696785,2
RES,1,8,36.52529374993185,2
RES,1,9,36.2264139444364,2
RES,1,10,36.54758060509173,2
RES,1,11,36.73360338212792,2
RES,3,0,11.594945201336907,2
RES,3,1,11.491339499111062,2
RES,3,2,12.35805301035965,2
RES,3,3,12.879554731910865,2
RES,3,4,11.779152649136645,2
RES,3,5,12.520061162026659,2
RES,3,6,12.68882974906688,2
RES,3,7,12.691033147377926,2
RES,3,8,11.5094246293249,2
RES,3,9,12.70458714703513,2
RES,3,10,12.161678005392924,2
RES,3,11,12.379612945539062,2
RES,10,0,3.586780830871704,2
RES,10,1,3.4773931185897102,2
RES,10,2,3.741508788613285,2
RES,10,3,3.9095604389928695,2
RES,10,4,3.726998374015119,2
RES,10,5,3.7214345232779533,2
RES,10,6,3.7193244387657014,2
RES,10,7,3.5418246662302666,2
RES,10,8,3.647655996579448,2
RES,10,9,3.68922568607854,2
RES,10,10,3.7099088709561863,2
RES,10,11,3.550123922284721,2
RES,30,0,1.254214680212251,2
RES,30,1,1.2821862953810828,2
RES,30,2,1.2806549844544803,2
RES,30,3,1.2199968925621074,2
RES,30,4,1.2456857761042321,2
RES,30,5,1.2261225751935243,2
RES,30,6,1.3481671177717325,2
RES,30,7,1.222755876383749,2
RES,30,8,1.2683264803177974,2
RES,30,9,1.2875029807070228,2
RES,30,10,1.3003000836742853,2
RES,30,11,1.2834040846794839,2
RES,100,0,0.41877134597332494,2
RES,100,1,0.4141552541382764,2
RES,100,2,0.409424318671488,2
RES,100,3,0.4336607791481552,2
RES,100,4,0.4284906605040214,2
RES,100,5,0.4557400022560508,2
RES,100,6,0.40343015135591953,2
RES,100,7,0.43200107238697205,2
RES,100,8,0.43526794778760713,2
RES,100,9,0.44600845233957664,2
RES,100,10,0.4262747636521159,2
RES,100,11,0.4689901182555349,2
RES,300,0,0.17556934500706675,2
RES,300,1,0.17321134361138144,2
RES,300,2,0.1932770596860446,2
RES,300,3,0.19118543276286043,2
RES,300,4,0.18858722338988404,2
RES,300,5,0.18000403566413628,2
RES,300,6,0.17621518840672387,2
RES,300,7,0.17908611885058895,2
RES,300,8,0.1887022926059712,2
RES,300,9,0.1759333503410303,2
RES,300,10,0.18352709437338804,2
RES,300,11,0.18491051337334102,2
RES,1000,0,0.10623259282246339,2
RES,1000,1,0.10524723605765088,2
